run_id,timestamp,experiment_name,strategy,strategy_variant,proximal_mu,server_round,loss,global_accuracy,global_f1_score,global_sensitivity,global_specificity,modality_FLAIR_accuracy,modality_FLAIR_f1_score,modality_FLAIR_sensitivity,modality_FLAIR_specificity,modality_T1w_accuracy,modality_T1w_f1_score,modality_T1w_sensitivity,modality_T1w_specificity,hospital_1_accuracy,hospital_1_f1_score,hospital_1_sensitivity,hospital_1_specificity,hospital_2_accuracy,hospital_2_f1_score,hospital_2_sensitivity,hospital_2_specificity,hospital_3_accuracy,hospital_3_f1_score,hospital_3_sensitivity,hospital_3_specificity,hospital_4_accuracy,hospital_4_f1_score,hospital_4_sensitivity,hospital_4_specificity
20260516_183537,2026-05-16T18:36:46,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,0,1.0413896850832216,0.45787545787545786,0.28789782244556117,0.999000999000999,0.0,0.46153846153846156,0.291497975708502,1.0,0.0,0.45354645354645357,0.2836613558263043,0.9978021978021978,0.0,0.46153846153846156,0.291497975708502,1.0,0.0,0.46153846153846156,0.291497975708502,1.0,0.0,0.45454545454545453,0.2840909090909091,1.0,0.0,0.45254745254745254,0.2832312117043892,0.9956043956043956,0.0
20260516_183537,2026-05-16T18:38:31,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,1,0.12442409781375158,0.959478021978022,0.9593570304810634,0.9265734265734266,0.9873203719357565,0.9378698224852071,0.9373224713430899,0.8653846153846154,1.0,0.985014985014985,0.9850321326644447,1.0,0.9725274725274725,0.9433643279797126,0.9429281444079283,0.8772893772893773,1.0,0.9323753169907016,0.9317001795969106,0.8534798534798534,1.0,0.984015984015984,0.9840352345992786,1.0,0.9706959706959707,0.986013986013986,0.9860291223927588,1.0,0.9743589743589743
20260516_183537,2026-05-16T18:40:28,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,2,0.049390838829690614,0.983058608058608,0.983035803982522,0.9665334665334665,0.9970414201183432,0.9716821639898563,0.9715968261469443,0.9386446886446886,1.0,0.9965034965034965,0.9965045733977987,1.0,0.9935897435897436,0.9695688926458157,0.9694683179416004,0.9340659340659341,1.0,0.9737954353338969,0.9737238584844942,0.9432234432234432,1.0,0.995004995004995,0.9950071545076599,1.0,0.9908424908424909,0.998001998001998,0.9980023557643065,1.0,0.9963369963369964
20260516_183537,2026-05-16T18:42:23,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,3,0.04523162535949025,0.9814560439560439,0.9814247247855898,0.9615384615384616,0.9983093829247676,0.9674556213017751,0.9673382741289718,0.9294871794871795,1.0,0.998001998001998,0.9980023557643065,1.0,0.9963369963369964,0.9619611158072696,0.9617925429243807,0.9175824175824175,1.0,0.9729501267962807,0.9728732188381413,0.9413919413919414,1.0,0.996003996003996,0.9960053943996535,1.0,0.9926739926739927,1.0,1.0,1.0,1.0
20260516_183537,2026-05-16T18:44:21,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,4,0.03083624476397848,0.98992673992674,0.9899251572247354,0.987012987012987,0.9923922231614539,0.989010989010989,0.9890002902051095,0.9761904761904762,1.0,0.991008991008991,0.9910156578611692,1.0,0.9835164835164835,0.9830938292476754,0.9830667729004484,0.9633699633699634,1.0,0.9949281487743026,0.9949260252868679,0.989010989010989,1.0,0.985014985014985,0.9850321326644447,1.0,0.9725274725274725,0.997002997002997,0.9970037927819467,1.0,0.9945054945054945
20260516_183537,2026-05-16T18:46:27,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,5,0.0294108525529781,0.9883241758241759,0.9883133721322156,0.9765234765234765,0.9983093829247676,0.9801352493660186,0.980096694910558,0.956959706959707,1.0,0.998001998001998,0.9980023557643065,1.0,0.9963369963369964,0.9746407438715131,0.9745742715223843,0.945054945054945,1.0,0.9856297548605241,0.9856107439837378,0.9688644688644689,1.0,0.996003996003996,0.9960053943996535,1.0,0.9926739926739927,1.0,1.0,1.0,1.0
20260516_183537,2026-05-16T18:48:38,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,6,0.032905241456647125,0.9887820512820513,0.988770045392313,0.9755244755244755,1.0,0.9792899408284024,0.9792476623283923,0.9551282051282052,1.0,1.0,1.0,1.0,1.0,0.9712595097210481,0.9711712444842292,0.9377289377289377,1.0,0.9873203719357565,0.9873058496486646,0.9725274725274725,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20260516_183537,2026-05-16T18:50:38,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,7,0.14179832553989644,0.9512362637362637,0.9509165713377353,0.8936063936063936,1.0,0.9099746407438715,0.9085828032507068,0.804945054945055,1.0,1.0,1.0,1.0,1.0,0.9053254437869822,0.9037407037407038,0.7948717948717948,1.0,0.9146238377007607,0.913408819233239,0.815018315018315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20260516_183537,2026-05-16T18:52:39,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,8,0.014282624077849117,0.9956501831501832,0.9956499303544405,0.9945054945054945,0.9966187658495351,0.9953508030431107,0.9953490280448704,0.98992673992674,1.0,0.996003996003996,0.9960053943996535,1.0,0.9926739926739927,0.9915469146238377,0.9915407693060706,0.9816849816849816,1.0,0.9991546914623838,0.9991546355551315,0.9981684981684982,1.0,0.9920079920079921,0.9920133247678288,1.0,0.9853479853479854,1.0,1.0,1.0,1.0
20260516_183537,2026-05-16T18:54:35,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,9,0.06839263423152149,0.9837454212454212,0.9837205778113716,0.9655344655344655,0.9991546914623838,0.9708368554522401,0.9707456033100957,0.9368131868131868,1.0,0.999000999000999,0.9990010894628154,1.0,0.9981684981684982,0.9509721048182587,0.9506644719410676,0.8937728937728938,1.0,0.9907016060862215,0.9906940955321724,0.9798534798534798,1.0,0.998001998001998,0.9980023557643065,1.0,0.9963369963369964,1.0,1.0,1.0,1.0
20260516_183537,2026-05-16T18:56:29,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,10,0.012168403995906641,0.9958791208791209,0.9958786379259702,0.994005994005994,0.9974640743871513,0.9949281487743026,0.9949260252868679,0.989010989010989,1.0,0.997002997002997,0.9970037927819467,1.0,0.9945054945054945,0.9907016060862215,0.9906940955321724,0.9798534798534798,1.0,0.9991546914623838,0.9991546355551315,0.9981684981684982,1.0,0.994005994005994,0.9940090670023841,1.0,0.989010989010989,1.0,1.0,1.0,1.0